from,to,arrows,title,id
SES at birth,Being Bullied,to,"OR=1.38 (Most deprived vs least deprived) <br>
OR=1.38 (Most deprived vs middle level)",a
SES at birth,Alcohol abuse,to,OR=1.54 (Most deprived vs least deprived) <br>,b
ADHD,Alcohol abuse,to,"OR=1.74 (ADHD vs None) <br>
Lee et al, 2011",https://www.ncbi.nlm.nih.gov/pubmed/21382538
Parental Alcohol Abuse,Alcohol abuse,to,"OR=1.47 (Parental alcohol abuse vs None) Age 12 to 21<br>
Bergen et al, 2007",https://www.ncbi.nlm.nih.gov/pubmed/17564500
Being Bullied,Depression,to,"OR=1.74 (Being bullied vs Not being bullied) Age 10 to 21<br>
Ttofi et al, 2011",http://www.emeraldinsight.com/doi/full/10.1108/17596591111132873
Maternal punitiveness,Depression,to,"OR=1.54 (Maternal punitiveness vs None) <br>
Norman et al, 2012",https://www.ncbi.nlm.nih.gov/pubmed/23209385
Maternal emotional responsiveness,Depression,to,"OR=0.47 (Maternal emotional responsiveness vs None) Age 12 to 18<br>
Yap et al, 2014",http://www.sciencedirect.com/science/article/pii/S0165032713008057
Parental Depression,Depression,to,"OR=2.67 (Parental Depression vs None) Age 4 to 21 <br>
Micco et al, 2009",https://www.ncbi.nlm.nih.gov/pubmed/19709850
SES at birth,Overweight,to,"OR=1.58 (Most deprived vs least deprived) Age 1 to 15<br>
Wu et al, 2014",i
Breastfeeding (months),Overweight,to,"OR=0.85 (Breastfed vs Not breastfed) Age 2 to 14<br>
Weng et al, 2012",http://adc.bmj.com/content/97/12/1019.short
Sleep Duration,Overweight,to,"OR=0.43 (Normal sleep vs Short sleep) Age 0.5 to 18<br>
OR=0.68 (Long sleep vs Short sleep) Age 0.5 to 18<br> 
Fatima et al, 2015",https://www.ncbi.nlm.nih.gov/pubmed/25589359
Breakfast consumption,Overweight,to,"OR=0.57 (Has breakfast vs No breakfast) Age 5 to 18<br>
OR=0.52 (Has breakfast vs No breakfast) Age 19+<br>
Horikawa et al, 2011",https://www.ncbi.nlm.nih.gov/pubmed/21925535
Mother's BMI,Overweight,to,"OR=0.46 (Underweight vs Normal) Age 2 to 12<br>
OR=1.04 (Overweight vs Normal) Age 2 to 3<br>
OR=1.40 (Overweight vs Normal) Age 4 to 5<br>
OR=2.11 (Overweight vs Normal) Age 6 to 7<br>
OR=1.37 (Obese vs Normal) Age 2 to 3<br>
OR=1.69 (Obese vs Normal) Age 5 to 5<br>
OR=2.91 (Obese vs Normal) Age 6 to 9<br>
Yu et al, 2013",https://www.ncbi.nlm.nih.gov/pubmed/23613888
Caesarean delivery,Overweight,to,"OR=1.32 (Caesarean delivery vs Vaginal delivery) Age 3 to 25<br>
Li et al, 2013",https://www.ncbi.nlm.nih.gov/pubmed/23207407
Cigarettes smoked per day during pregnancy,Overweight,to,"OR=1.47 (Smoking in pregnancy vs No smoking in pregnancy) <br>
Weng et al, 2012",https://www.ncbi.nlm.nih.gov/pubmed/23109090
